case_id,task_duration(us),device_id,operation,description,m,n,k,A,B,C
91,24.580,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x416_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
92,23.920,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x416_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
93,25.461,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x448_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
94,23.320,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x448_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
95,23.440,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x448_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
96,26.501,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x448_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
97,26.981,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x480_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
98,25.461,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x480_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
99,25.821,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x480_128x160x96_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
100,24.680,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x480_128x160x128_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
101,21.660,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x512_128x160x32_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
102,23.160,0,Gemm,catlass_gemm_quant_matmul_int8xColumnMajor_int8xColumnMajor_fp16xRowMajor_128x160x512_128x160x64_swizzle3x1,256,512,1024,int8:column,int8:column,int32:row
